Cruise Name,Sample #,Station Number,Description,WDIR,WSPD,ATMP,WTMP,DateTime,YearDay,Datenum,SST,SSS,Latitude,Longitude,Ratio
R/V Sikuliaq,1,1,Test Station,339.5,9.5,4.2,4.95,8/29/2017 6:40,241,736936.277777778,4.59,27.45,71.7038494545,-153.2209967273,185.3099547511
R/V Sikuliaq,3,5,WPNT 2.2 A,86,15.3,3.675,3.9,8/30/2017 18:26,242,736937.768055556,5.38,27.53,71.4097384286,-151.0100227857,10.2191067494
R/V Sikuliaq,9,11,WPNT 2.8 A,292,8,3.46,4.72,8/30/2017 1:30,242,736937.0625,2.69,28.2,71.1535316667,-151.1765011667,12.9858664482
R/V Sikuliaq,29,46,WPNT 2.10 B,78,6.76,3.16,3.6,9/2/2017 11:47,245,736940.490972222,2.11,29.25,71.0606738333,-151.256842,5.3776595745
R/V Sikuliaq,41,72,WPNT 2.2 D,104.4,12.78,4.08,2.92,9/4/2017 14:41,247,736942.611805556,2.29,27.6,71.425570625,-151.019276375,2.97846345
R/V Sikuliaq,45,78,WPNT 2.6 D,43.5,5.25,5.05,1.7,9/5/2017 4:18,248,736943.179166667,2.115,27.59,71.2415755,-151.134806625,2.6017765733
R/V Sikuliaq,50,82,WPNT 2.10 D,19,1.775,4.075,1.9,9/5/2017 8:51,248,736943.36875,1.78,29.16,71.062011,-151.256045,2.5738293359
R/V Sikuliaq,51,86,WPNT 4.4 B,91.8,9.08,2.46,2.14,9/6/2017 10:49,249,736944.450694444,1.405,27.17,71.2741755,-150.267529125,3.4621094424
R/V Sikuliaq,55,89,WPNT 4.6 B,94.2,12.66,2.78,2.2,9/6/2017 15:52,249,736944.661111111,1.405,28.98,71.18440325,-150.32686525,0.8996087605
R/V Sikuliaq,59,93,WPNT 4.10 B,83.4,15.2,3.36,2.3,9/6/2017 19:35,249,736944.815972222,1.3,29.42,71.0026088333,-150.4350023333,1.3523675036
R/V Sikuliaq,76,135,WPNT 5.8,72.4,10.02,1.5,3.34,9/9/2017 0:00,252,736947,0.55,28.851,71.0412335,-149.8513361667,1.9181812085
R/V Sikuliaq,88,146,WPNT 2.3 E,59.75,7.25,-0.15,3.3,9/9/2017 13:45,252,736947.572916667,1.58,27.58,71.3880817,-151.0412863,2.1950384944
