Cruise Name,Sample #,Date,Time GMT,Station Number,Description
R/V Sikuliaq,1,8/29/2017,6:40,1,Test Station
R/V Sikuliaq,3,8/30/2017,18:26,5,WPNT 2.2 A
R/V Sikuliaq,5,8/30/2017,19:59,7,WPNT 2.4 A
R/V Sikuliaq,7,8/30/2017,23:22,9,WPNT 2.6 A
R/V Sikuliaq,9,8/30/2017,1:30,11,WPNT 2.8 A
R/V Sikuliaq,11,8/31/2017,3:56,13,WPNT 2.10 A
R/V Sikuliaq,13,8/31/2017,16:55,20,WPNT 4.1 A
R/V Sikuliaq,15,8/31/2017,21:50,22,WPNT 4.3 A
R/V Sikuliaq,17,9/1/2017,1:58,24,WPNT 4.5 A
R/V Sikuliaq,19,9/1/2017,6:38,26,WPNT 4.7 A
R/V Sikuliaq,21,9/1/2017,21:18,37,WPNT 2.2 B
R/V Sikuliaq,23,9/2/2017,4:40,39,WPNT 2.4 B
R/V Sikuliaq,25,9/2/2017,7:21,42,WPNT 2.6 B
R/V Sikuliaq,27,9/2/2017,9:37,44,WPNT 2.8 B
R/V Sikuliaq,29,9/2/2017,11:47,46,WPNT 2.10 B
R/V Sikuliaq,31,9/3/2017,8:35,53,WPNT 2.2 C
R/V Sikuliaq,33,9/3/2017,11:45,55,WPNT 2.4 C
R/V Sikuliaq,35,9/3/2017,14:18,58,WPNT 2.6 C
R/V Sikuliaq,37,9/3/2017,16:32,60,WPNT 2.8 C
R/V Sikuliaq,39,9/3/2017,18:20,62,WPNT 2.10 C
R/V Sikuliaq,41,9/4/2017,14:41,72,WPNT 2.2 D
R/V Sikuliaq,43,9/5/2017,1:47,75,WPNT 2.4 D
R/V Sikuliaq,45,9/5/2017,4:18,78,WPNT 2.6 D
R/V Sikuliaq,47,9/5/2017,6:34,80,WPNT 2.8 D
R/V Sikuliaq,50,9/5/2017,8:51,82,WPNT 2.10 D
R/V Sikuliaq,51,9/6/2017,10:49,86,WPNT 4.4 B
R/V Sikuliaq,53,9/6/2017,13:31,87,WPNT 4.5 B
R/V Sikuliaq,55,9/6/2017,15:52,89,WPNT 4.6 B
R/V Sikuliaq,57,9/6/2017,16:50,91,WPNT 4.8 B
R/V Sikuliaq,59,9/6/2017,19:35,93,WPNT 4.10 B
R/V Sikuliaq,61,9/7/2017,18:00,108,WPNT 6.4
R/V Sikuliaq,63,9/7/2017,21:00,111,WPNT 6.6
R/V Sikuliaq,65,9/7/2017,23:30,113,WPNT 6.8
R/V Sikuliaq,66,9/8/2017,2:25,115,WPNT 6.10
R/V Sikuliaq,68,9/8/2017,15:34,128,WPNT 5.2
R/V Sikuliaq,71,9/8/2017,19:20,131,WPNT 5.45
R/V Sikuliaq,74,9/8/2017,21:32,133,WPNT 5.6
R/V Sikuliaq,76,9/9/2017,0:00,135,WPNT 5.8
R/V Sikuliaq,78,9/9/2017,2:26,137,WPNT 5.10
R/V Sikuliaq,81,9/9/2017,6:59,138,WPNT 2.10 E
R/V Sikuliaq,82,9/9/2017,8:15,140,WPNT 2.8 E
R/V Sikuliaq,84,9/9/2017,9:58,142,WPNT 2.6 E
R/V Sikuliaq,86,9/9/2017,11:23,144,WPNT 2.45 E
R/V Sikuliaq,88,9/9/2017,13:45,146,WPNT 2.3 E
